origen	destino	distancia(Km)	MTBF(año*Km/cortes)	MTTR(año)
0	1	260		370.37			0.0137
0	2	380		370.37			0.0137
0	7	868		370.37			0.0137
1	2	252		370.37			0.0137
1	3	324		370.37			0.0137
2	5	416		370.37			0.0137
3	4	248		370.37			0.0137
3	10	1140		370.37			0.0137
4	5	272		370.37			0.0137
4	6	292		370.37			0.0137
5	9	704		370.37			0.0137
5	13	1036		370.37			0.0137
6	7	212		370.37			0.0137
7	8	224		370.37			0.0137
8	9	752		370.37			0.0137
8	11	536		370.37			0.0137
8	12	668		370.37			0.0137
10	11	408		370.37			0.0137
10	12	684		370.37			0.0137
11	13	664		370.37			0.0137
12	13	352		370.37			0.0137
