origen	destino	distancia(Km)	MTBF(año*Km/cortes)	MTTR(año)
0	1	634		370.37			0.0137
0	2	530		370.37			0.0137
0	10	807		370.37			0.0137	
1	2	867		370.37			0.0137
1	3	199		370.37			0.0137
2	4	203		370.37			0.0137
3	4	850		370.37			0.0137
3	5	505		370.37			0.0137
4	6	300		370.37			0.0137
5	6	692		370.37			0.0137
5	7 	1164		370.37			0.0137
6	8	850		370.37			0.0137
7	8	452		370.37			0.0137
7	9	626		370.37			0.0137
7	14	832		370.37			0.0137
8	9	520		370.37			0.0137
8	17	1238		370.37			0.0137
9	10	481		370.37			0.0137
10	11	527		370.37			0.0137
11	12	676		370.37			0.0137
11	18	550		370.37			0.0137
12	13	380		370.37			0.0137
12	16	566		370.37			0.0137
13	14	438		370.37			0.0137
13	15	700		370.37			0.0137
14	15	634		370.37			0.0137
15	16	538		370.37			0.0137
16	17	630		370.37			0.0137
17	18	565		370.37			0.0137
17	19	671		370.37			0.0137
18	19	269		370.37			0.0137
