origen	destino	distancia(Km)	MTBF(año*Km/cortes)	MTTR(año)
0	1	525		370.37			0.0137
0	5	563		370.37			0.0137
0	6	213		370.37			0.0137
0	7	725		370.37			0.0137
1	2	325		370.37			0.0137
1	4	800		370.37			0.0137
1	6	475		370.37			0.0137
1	7	225		370.37			0.0137
2	3	875		370.37			0.0137
2	7	275		370.37			0.0137
2	8	300		370.37			0.0137
3	4	325		370.37			0.0137
3	8	575		370.37			0.0137
3	10	600		370.37			0.0137
4	5	475		370.37			0.0137
4	8	525		370.37			0.0137
4	10	263		370.37			0.0137
5	6	475		370.37			0.0137
5	10	225		370.37			0.0137
6	9	325		370.37			0.0137
6	10	400		370.37			0.0137
7	8	175		370.37			0.0137
7	9	163		370.37			0.0137
8	9	288		370.37			0.0137
9	10	525		370.37			0.0137
