origen	destino	distancia(Km)	MTBF(año*Km/cortes)	MTTR(año)
0	1	161		370.37			0.0137
0	2	294		370.37			0.0137
0	3	163		370.37			0.0137
0	5	144		370.37			0.0137
0	7	178		370.37			0.0137
0	13	254		370.37			0.0137
0	19	463		370.37			0.0137
1	2	160		370.37			0.0137
1	18	43		370.37			0.0137
2	18	140		370.37			0.0137
2	19	361		370.37			0.0137
3	4	25		370.37			0.0137
3	5	56		370.37			0.0137
3	6	52		370.37			0.0137
3	18	139		370.37			0.0137
4	5	37		370.37			0.0137
5	7	37		370.37			0.0137
6	7	68		370.37			0.0137
6	8	72		370.37			0.0137
7	8	134		370.37			0.0137
7	9	35		370.37			0.0137
8	10	53		370.37			0.0137
8	14	209		370.37			0.0137
8	15	280		370.37			0.0137
8	19	216		370.37			0.0137
8	20	231		370.37			0.0137
9	10	66		370.37			0.0137
9	12	69		370.37			0.0137
9	13	90		370.37			0.0137
10	11	51		370.37			0.0137
11	12	11		370.37			0.0137
12	14	283		370.37			0.0137
13	14	159		370.37			0.0137
14	16	103		370.37			0.0137
15	16	84		370.37			0.0137
15	17	121		370.37			0.0137
15	20	151		370.37			0.0137
16	17	56		370.37			0.0137
19	20	141		370.37			0.0137
